,Ridge,Lasso,ElasticNet,KNeighborsRegressor,RandomForestRegressor,GradientBoostingRegressor,SVR,value
2012-03-26,574.4736001548026,555.4353207982361,570.2450131188393,1094.376476768047,874.9492042320503,904.1796828243162,669.6550994248577,1113.0
2012-03-27,1022.293555110075,1023.2886087593373,1008.5448458385582,1143.5398405042756,1003.7311182067492,1073.5007315278701,1091.9159488443925,1163.0
2012-03-28,1362.075485764028,1345.2827873315282,1324.1435734288582,1444.4196265698738,1101.4352205176453,1247.1644570293354,1211.0080640088968,1469.0
2012-03-29,1322.5264015241403,1295.382886188904,1286.180536556532,1532.9136812950517,1201.923171131489,1351.2221713716938,1319.0312688528265,1559.0
2012-03-30,928.587360991051,920.0732685779102,924.1164630144943,1774.7974308771966,1217.9869336314378,1463.7901348610533,1130.2136426404031,1805.0
2012-03-31,463.0528870948056,528.4700479427864,527.9756905213037,476.8846282412438,366.42039310081907,472.2065807670747,453.23299055758275,485.0
2012-04-01,319.6085895228409,337.18565109832815,354.98620476504874,0.9832672747250245,83.1714451131468,7.124140642399512,165.9473446284663,1.0
2012-04-02,531.3902836036248,514.6245879374446,513.8246158510766,1109.1254858889185,947.1901418852833,1065.7403834902866,710.5887902129366,1128.0
2012-04-03,966.3397599737798,996.6755913716421,956.8414413035706,1562.4116995367845,1164.2563742442615,1364.2034839843593,1082.989536164687,1589.0
2012-04-04,1323.8618707800708,1304.4902092595114,1270.0619195263864,1162.2219187240332,1178.0726426586232,1257.9818371881736,1193.034834468551,1182.0
2012-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2012-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-07,269.0538914964466,276.6040793659361,311.8193945811297,0.9832672747307356,119.26592967295674,50.72589949200216,207.0598684071728,1.0
2012-04-08,305.17174040786404,267.7212084163128,287.85800863157715,4.912293191782795e-12,83.92621518588885,26.768082661661925,224.77299415544712,0.0
2012-04-09,582.8723257805775,540.2940388335156,561.456412979614,757.1158015376568,879.4545008136771,843.6471609417002,736.1045192618875,770.0
2012-04-10,1029.0807160713568,998.612688050342,994.2725218155934,1175.9876605701688,980.7205787346293,1016.7111448100304,1164.846432678471,1196.0
2012-04-11,1371.7311568818477,1321.176259407824,1309.9657059533183,1442.4530920204259,1093.851271503363,1232.5529522256436,1266.58791937474,1467.0
2012-04-12,1329.9397315592712,1273.4273660773606,1270.5312548029833,1431.6371519984596,1201.0307196138924,1306.7948578226385,1361.8821688058486,1456.0
2012-04-13,939.1918503785657,900.5932849371147,912.4894297757222,1346.0928990974608,1218.4770048728815,1309.9800974620819,1155.9413455185795,1369.0
2012-04-14,479.113835608786,494.2823306656708,507.4384229079017,414.9387899336172,347.4339893242945,358.8279591095475,465.9131201481753,422.0
2012-04-15,323.10192693596116,333.951638809584,351.6866099465246,8.948564639354102e-13,78.38228285895195,18.80104873735162,176.55291919377927,0.0
2012-04-16,566.1794617522293,553.7304417237925,565.7959446028764,781.6974834057609,885.6915739489948,873.1624543689632,709.0251067865657,795.0
2012-04-17,1019.2166093759809,1011.2055002114139,999.0643715323347,1049.1461821307519,1000.4837709717475,1087.7848469682804,1142.0152000070198,1067.0
2012-04-18,1363.9687547256617,1333.3185507096596,1315.629327204444,1337.243493624938,1105.6435701364182,1232.6153416604793,1257.8113584861926,1360.0
2012-04-19,1324.6428310244992,1284.3973129378346,1275.2487611467193,1064.878458526347,1205.3470707889833,1285.2931006650213,1368.1838351520826,1083.0
2012-04-20,934.0774092948351,904.5182847600317,913.7103198355339,1418.8546774270392,1220.4605777604086,1316.8247934208066,1163.8827367006263,1443.0
2012-04-21,477.203525105042,491.33001369097525,505.3498323133817,304.81285516451413,352.35822690572815,354.68558822883836,472.38094673469516,310.0
2012-04-22,320.24909272069857,332.2308886018583,349.0402075474616,7.062147852518031e-13,80.07078110427298,9.970871280607216,180.43751468149173,0.0
2012-04-23,564.7799155995142,556.5220097631562,567.2295090201821,948.8529201088621,887.8254932169219,873.1624543689632,706.8372148994318,965.0
2012-04-24,1018.3220017976031,1010.5242325195385,996.7482631245491,1123.8744950097882,997.7990853056889,1053.566950236516,1146.188140522747,1143.0
2012-04-25,1360.7404642116683,1326.5513406702466,1309.8540170286174,1338.2267608996658,1095.3556440243415,1201.4552928593448,1272.2873661353206,1361.0
2012-04-26,1317.6535285037196,1291.4044176711304,1277.518075695641,1242.849835251414,1203.351050688653,1293.080047904997,1371.8901613873406,1264.0
2012-04-27,929.9453603046348,916.8503441541922,918.9444987292873,724.6679814717887,1218.0515012060898,1225.4653862819198,1171.9536434322576,737.0
2012-04-28,478.6077603658277,497.41786682393376,510.5523736398478,506.3826464829681,351.50490477477445,374.02970799138757,472.749464031826,515.0
2012-04-29,328.0229766957909,328.2866095351376,350.06198023557215,33.43108734062218,81.26205586583788,18.80104873735162,195.12327791276905,34.0
2012-04-30,537.6143101221601,505.88082329530215,511.4264752973902,1264.4817152953442,927.8260911599538,1102.4358892308376,747.0858029563515,1286.0
2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2012-05-02,1145.3958125003317,1121.5313392803073,1119.375502379081,948.8529201088742,1028.2143112428703,966.5529518054803,950.0094850383972,965.0
2012-05-03,1279.8024354981667,1252.7486570512576,1224.8790733360718,1207.4522133613466,1186.1142601319004,1216.9470916821685,1315.131653703206,1228.0
2012-05-04,899.4735864046235,870.733584952025,863.4697290232101,1326.427553602973,1200.572116263705,1287.7369446988553,1131.9351558035803,1349.0
2012-05-05,456.5356367687543,440.27817983056906,447.2213695244235,368.7252280215855,339.8656020333901,349.1804131893362,479.9365932929273,375.0
2012-05-06,293.2107705973199,282.6529931242982,290.5237895882259,1.6967962416298346e-12,82.96587105653559,14.384628839136944,217.77659305612636,0.0
2012-05-07,572.3466402143888,556.2118497552577,564.3630535183553,968.5182656033538,886.7755787940429,863.0169689205054,742.9779291415668,985.0
2012-05-08,1025.501475296585,1014.7267950851019,999.086113993965,1330.3606227018647,1010.5730296621488,1090.8228124671073,1179.7151386049889,1353.0
2012-05-09,1371.7176606588478,1325.854861352101,1309.4252880079296,1402.139133756738,1097.0891498059852,1204.3014194142759,1327.0122018104985,1426.0
2012-05-10,1329.2476508838226,1279.5092685995744,1271.2955398960303,1369.691313690842,1202.394291547836,1280.514077275774,1426.3858285726853,1393.0
2012-05-11,946.3301577737287,900.5867484357298,910.994182017222,1430.653884723743,1218.336023959257,1244.4144721483065,1219.9974281267134,1455.0
2012-05-12,471.53465431980106,501.31518427831105,508.2205954985043,226.15147318657665,340.72199014380124,351.4657796774304,490.0853126097425,230.0
2012-05-13,311.0377389183911,340.9467151053048,352.61323578415636,0.9832672747245371,87.1255787630551,18.80104873735162,191.88653998933367,1.0
2012-05-14,568.734274293814,548.4515283498735,561.7942081968823,1037.3469748340442,879.6665496145154,891.3249253662025,767.2568858057886,1055.0
2012-05-15,1006.5133098583517,1024.9650397790338,1003.5529609380169,1254.6490425481,1017.8246857055625,1123.8079964911778,1140.3163200004335,1276.0
2012-05-16,1355.589024102669,1330.6594987573462,1311.1087747933354,1292.0131989876313,1097.4219995535614,1202.082685817956,1307.2295273555578,1314.0
2012-05-17,1304.563291202947,1298.6472849727948,1277.900334764355,1364.77497731722,1202.0430493652336,1307.0125338899102,1404.7619197832798,1388.0
