,value,value_no_cl,cos_month,sin_month,cos_n_week,sin_n_week,cos_weekday,sin_weekday,holiday,day_before_holiday,week_with_holiday,trm_shift_45,trm_shift_60,trm_shift_404,trm_shift_592,gt_carro,gt_moto,gt_RUNT
2018-02-14,,,0.5000000000000001,0.8660254037844386,0.6631226582407953,0.7485107481711011,-0.22252093395631434,0.9749279121818236,0.0,0.0,0.0,2972.881428571429,3012.4557142857147,2984.3342857142857,2960.477142857143,523.0,847.0,231.0
2018-02-15,,,0.5000000000000001,0.8660254037844386,0.6631226582407953,0.7485107481711011,-0.900968867902419,0.43388373911755823,0.0,0.0,0.0,2976.0042857142857,3009.6600000000003,2972.662857142857,2952.1142857142854,534.0,876.0,368.0
2018-02-16,,,0.5000000000000001,0.8660254037844386,0.6631226582407953,0.7485107481711011,-0.9009688679024191,-0.433883739117558,0.0,0.0,0.0,2979.1271428571426,3006.8642857142863,2960.9914285714285,2943.7514285714283,492.0,871.0,261.0
2018-02-17,,,0.5000000000000001,0.8660254037844386,0.6631226582407953,0.7485107481711011,-0.2225209339563146,-0.9749279121818236,0.0,0.0,0.0,2976.0814285714287,3001.378571428572,2949.32,2928.2657142857142,697.0,836.0,355.0
2018-02-18,,,0.5000000000000001,0.8660254037844386,0.6631226582407953,0.7485107481711011,0.6234898018587334,-0.7818314824680299,0.0,0.0,0.0,2967.0885714285714,2993.1357142857146,2937.6485714285714,2922.792857142857,802.0,703.0,295.0
2018-02-19,,,0.5000000000000001,0.8660254037844386,0.5680647467311559,0.8229838658936564,1.0,0.0,0.0,0.0,0.0,2953.054285714286,2986.0442857142857,2933.154285714286,2935.2285714285717,912.0,731.0,199.0
2018-02-20,,,0.5000000000000001,0.8660254037844386,0.5680647467311559,0.8229838658936564,0.6234898018587336,0.7818314824680298,0.0,0.0,0.0,2940.8142857142857,2980.9742857142855,2935.36,2944.868571428571,771.0,647.0,295.0
2018-02-21,,,0.5000000000000001,0.8660254037844386,0.5680647467311559,0.8229838658936564,-0.22252093395631434,0.9749279121818236,0.0,0.0,0.0,2928.574285714286,2976.0499999999997,2933.804285714286,2950.334285714285,745.0,660.0,353.0
2018-02-22,,,0.5000000000000001,0.8660254037844386,0.5680647467311559,0.8229838658936564,-0.900968867902419,0.43388373911755823,0.0,0.0,0.0,2916.3342857142857,2971.125714285714,2936.2257142857147,2955.8,851.0,626.0,292.0
2018-02-23,,,0.5000000000000001,0.8660254037844386,0.5680647467311559,0.8229838658936564,-0.9009688679024191,-0.433883739117558,0.0,0.0,0.0,2904.094285714286,2966.201428571428,2938.647142857143,2961.2657142857142,780.0,573.0,272.0
2018-02-24,,,0.5000000000000001,0.8660254037844386,0.5680647467311559,0.8229838658936564,-0.2225209339563146,-0.9749279121818236,0.0,0.0,0.0,2900.2985714285714,2964.28,2941.0685714285714,2963.47,250.0,825.0,331.0
2018-02-25,,,0.5000000000000001,0.8660254037844386,0.5680647467311559,0.8229838658936564,0.6234898018587334,-0.7818314824680299,0.0,0.0,0.0,2898.4428571428575,2962.8814285714284,2943.4900000000002,2955.618571428571,263.0,958.0,234.0
2018-02-26,,,0.5000000000000001,0.8660254037844386,0.4647231720437686,0.8854560256532099,1.0,0.0,0.0,0.0,0.0,2895.5899999999997,2963.718571428571,2939.942857142857,2946.094285714286,254.0,860.0,156.0
2018-02-27,,,0.5000000000000001,0.8660254037844386,0.4647231720437686,0.8854560256532099,0.6234898018587336,0.7818314824680298,0.0,0.0,0.0,2889.5242857142853,2966.6357142857146,2933.34,2937.034285714286,223.0,878.0,307.0
2018-02-28,,,0.5000000000000001,0.8660254037844386,0.4647231720437686,0.8854560256532099,-0.22252093395631434,0.9749279121818236,0.0,0.0,0.0,2883.4585714285713,2969.7585714285715,2934.4900000000002,2932.865714285714,316.0,741.0,361.0
